Loaded config/swe_rest.py!
Starting simulation with N=100...
Error at N=100 is 16.4664807275
5.875 3.000000000000774 23.999999999999993 3.549018467651839 31.81845300027945 3.954656992153136e-21
6.125 3.0000000000007736 23.99999999999999 3.5513121529543614 31.825390718075425 2.789761923259548e-20
6.375 3.0000000000007736 23.99999999999999 3.5519204679011827 31.826995745028796 -1.0909101867037715e-18
6.625 3.0000000000007736 23.99999999999999 3.5521239365496076 31.82746058503659 -5.5213930824722155e-17
6.875 3.0000000000007736 23.999999999999986 3.5521814787626087 31.827514568070388 -1.5081395283077498e-15
7.125 3.000000000000779 23.999999999999982 3.5521739510527617 31.82729973631183 -3.0406459207729985e-14
7.375 3.000000000000866 23.99999999999998 3.5520891683740805 31.82670953196178 -4.87731075149774e-13
7.625 3.0000000000019638 23.99999999999997 3.5519906926167764 31.82583583040469 -6.400550420574792e-12
7.875 3.0000000000133173 23.999999999999964 3.551915431764545 31.824654693106552 -6.946621751012237e-11
8.125 3.0000000001102425 23.99999999999996 3.5518401180947285 31.823141355449078 -6.243021272063907e-10
8.375 3.000000000786148 23.999999999999957 3.5517985435161643 31.822183833233954 -4.611047172371882e-09
8.625 3.0000000045274087 23.99999999999995 3.551791760399194 31.821847730502437 -2.7399979986059073e-08
8.875 3.0000000197386836 23.99999999999995 3.551797426044475 31.821776226651522 -1.240590773561188e-07
9.125 3.0000000523749435 23.999999999999947 3.5518038456432093 31.82176911928467 -3.552572240524588e-07
9.375 2.999999948115494 23.999999999999943 3.551809948780324 31.821757273281438 1.2942058380315937e-07
9.625 2.9999983908425487 23.999999999999943 3.5518052743799116 31.8216754243711 9.209599773068e-06
9.875 2.9999886749262266 23.999999999999943 3.551750380843013 31.821403583927896 6.829060285179713e-05
10.125 2.9999457635118083 23.999999999999936 3.551511340413066 31.820774440833834 0.00033476072351890226
10.375 2.9997980492503955 23.99999999999993 3.5507447910350938 31.819898568459724 0.0012639670514472895
10.625 2.9993895618208026 23.999999999999922 3.548717745722154 31.819406360390232 0.003855097550723615
10.875 2.9984763694470757 23.99999999999992 3.544196195104817 31.81892298539985 0.009678706501005496
11.125 2.9968432784525914 23.999999999999915 3.5360736204138887 31.81792895923651 0.02012788497491368
11.375 2.994586616041064 23.9999999999999 3.5247077143108134 31.815500416378676 0.03458962805843038
11.625 2.9924100924099797 23.999999999999872 3.513244877969327 31.810050404736387 0.0485132950314933
11.875 2.9915637052977893 23.999999999999822 3.5072299201740176 31.79942605961811 0.053807929155783495
12.125 1.993180426046774 23.999999999999766 3.5118816381917712 31.781330957462746 0.0432510018706274
12.375 1.997332987151486 23.999999999999705 3.528493910308362 31.75311393465424 0.01668234441309194
12.625 2.00262545277614 23.999999999999684 3.5525427626996087 31.709258063529973 -0.01668234441309194
12.875 2.006892273722779 23.999999999999737 3.5744044390310368 31.632326824957183 -0.0432510018706274
13.125 2.0085967598024723 23.99999999999992 3.58135540929399 31.47549727827533 -0.053807929155783495
13.375 2.0077316286721945 24.000000000000266 3.5609605968098883 31.15014707650838 -0.0485132950314933
13.625 2.0054801177807633 24.000000000000533 3.5047708568119575 30.52848221887695 -0.03458962805843038
13.875 2.0031657216125778 24.000000000000355 3.4065157728135684 29.44800463507202 -0.02012788497491368
14.125 2.0015130500194713 23.999999999999588 3.2590831838546652 27.766131146576832 -0.009678706501005496
14.375 2.000602321467899 23.999999999999293 3.09590116292586 25.991785240889094 -0.003855097550723615
14.625 2.000200163476062 24.00000000000088 2.9691975627789517 24.83219474331833 -0.0012639670514472895
14.875 2.000055464802901 23.999999999996522 2.8670143015286604 24.103110314901244 -0.00033476072351890226
15.125 2.000012691418581 23.999999999979984 2.776453834948545 23.59904175700396 -6.829060285179713e-05
15.375 2.000002267546951 23.99999999997553 2.6909445817633886 23.197253498236627 -9.209599773068e-06
15.625 2.000000182918715 24.000000000041748 2.6077854647863346 22.837342076957988 -1.2942058380315937e-07
15.875 1.999999852949467 24.000000000155936 2.5260731790356563 22.49216752223397 3.552572240524588e-07
16.125 1.9999998192057817 23.999999999754124 2.445574767564197 22.14896140936493 1.240590773561188e-07
